DATE,NGDPSAXDCBRQ_NBD20000101
2000-01-01,100.00000
2001-01-01,109.72927
2002-01-01,124.15952
2003-01-01,143.27087
2004-01-01,163.26923
2005-01-01,181.01881
2006-01-01,200.93937
2007-01-01,226.86005
2008-01-01,259.34628
2009-01-01,277.96334
2010-01-01,324.06550
2011-01-01,364.97435
2012-01-01,401.53349
2013-01-01,444.63765
2014-01-01,481.94368
2015-01-01,500.02684
2016-01-01,522.83909
2017-01-01,549.20500
2018-01-01,584.11990
2019-01-01,616.22667
2020-01-01,634.61273
2021-01-01,751.57988
2022-01-01,840.60834
