DATE,MKTGDPCNA646NWDB_NBD20000101
2000-01-01,100.00000
2001-01-01,110.57260
2002-01-01,121.40008
2003-01-01,137.06243
2004-01-01,161.42126
2005-01-01,188.71472
2006-01-01,227.19778
2007-01-01,293.09296
2008-01-01,379.27984
2009-01-01,421.16386
2010-01-01,502.52065
2011-01-01,623.40860
2012-01-01,704.36411
2013-01-01,790.07851
2014-01-01,864.80238
2015-01-01,913.17457
2016-01-01,927.35245
2017-01-01,1016.27753
2018-01-01,1147.07709
2019-01-01,1178.86530
2020-01-01,1212.52872
2021-01-01,1471.14620
2022-01-01,1476.20871
