DATE,CPMNACSCAB1GQDE_NBD20000101
2000-01-01,100.00000
2001-01-01,103.21369
2002-01-01,104.56180
2003-01-01,105.37287
2004-01-01,107.32795
2005-01-01,109.04279
2006-01-01,113.95160
2007-01-01,119.51941
2008-01-01,121.43257
2009-01-01,117.04482
2010-01-01,122.57061
2011-01-01,128.83550
2012-01-01,131.53903
2013-01-01,134.84446
2014-01-01,140.37547
2015-01-01,144.74476
2016-01-01,149.81494
2017-01-01,156.59399
2018-01-01,161.31876
2019-01-01,166.25292
2020-01-01,161.63521
2021-01-01,172.18329
2022-01-01,185.32742
